post_id,influencer_id,post_datetime,content_type,post_format,follower_count,authority_log,verified,total_posts,highly_active_influencer,mean_days_between_posts,frequency_of_posts_per_month,log_of_frequency_of_posts_per_month,influencer_score,Rank,account_age_years,early_window_mins,early_likes,early_comments,early_shares,early_total_engagement,early_engagement_velocity,early_comment_share_ratio,persuasive_power_index,reach,impressions,impressions_per_reach,exposure_persistence_hours,reach_growth_rate,algorithmic_amplification_index,very_high_reach,post_early_likes,post_early_comments,post_early_shares,post_early_total_engagement,link_clicks,saves,profile_visits,click_through_rate,save_rate,engagement_success_index,low_effort_engagement,high_effort_engagement,high_enough_reach,spike_indicator,likes_spike_indicator,post_success_score,Early_and_total_likes,reach_to_follower_ratio,total_likes,sustained_engagement
234.0,210.0,2025-05-16 00:00:00,informational,image,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,205.0,35.0,1.0,241.0,4.016666667,18.0,1.955614378,1752078.0,3463009.0,1.977,3.01,0.293,3.252615781,1.0,238115.0,0.0,0.0,238115.0,25.0,16.0,4.0,1.4e-05,9e-06,3.311392368,238115.0,45.0,1.0,0.00101,0.0008609,0.135904338,False,1.2505,238320.0,1
7869.0,210.0,2024-09-21 00:00:00,promotional,video,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,512.0,34.0,15.0,561.0,9.35,2.1875,4.849261205,5000000.0,9897971.0,1.98,1.32,0.626,3.22278209,1.0,300137.0,2.0,0.0,300139.0,3.0,0.0,3.0,1e-06,0.0,0.43136051,300137.0,6.0,1.0,0.00187,0.0017059,0.0600274,False,3.5688,300649.0,1
5620.0,210.0,2025-08-23 00:00:00,experiential,carousel,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,475.0,5.0,27.0,507.0,8.45,0.214285714,3.822195815,5000000.0,6133584.0,1.227,2.0,0.52,3.306127306,1.0,126741.0,0.0,0.0,126741.0,1.0,0.0,8.0,0.0,0.0,0.266946927,126741.0,9.0,1.0,0.004,0.0037478,0.0253482,False,3.5688,127216.0,1
8579.0,180.0,2024-12-12 00:00:00,experiential,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,28.0,12.0,2.0,42.0,0.7,4.333333333,-0.349367611,10231.0,12190.0,1.191,6.53,0.19,-0.151978465,0.0,4157.0,2.0,2.0,4161.0,18.0,3.0,38.0,0.001759,0.000293,2.8765663,4157.0,59.0,1.0,0.01009,0.0067356,0.406314143,False,0.0227,4185.0,1
9629.0,180.0,2025-07-08 00:00:00,promotional,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,52.0,11.0,2.0,65.0,1.083333333,4.0,-0.211120493,25517.0,26361.0,1.033,6.82,0.143,0.540320979,0.0,9352.0,1.0,0.0,9353.0,17.0,4.0,63.0,0.000666,0.000157,3.128857042,9352.0,84.0,1.0,0.00695,0.0055603,0.366500764,False,0.0565,9404.0,1
3837.0,180.0,2025-07-22 00:00:00,experiential,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,43.0,4.0,7.0,54.0,0.9,0.625,-0.368004775,13714.0,26695.0,1.947,5.29,0.2,0.123257563,0.0,3530.0,2.0,2.0,3534.0,21.0,3.0,51.0,0.001531,0.000219,3.050328067,3530.0,75.0,1.0,0.01528,0.0121813,0.257401196,False,0.0304,3573.0,1
9949.0,180.0,2025-06-04 00:00:00,experiential,video,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,164.0,4.0,5.0,173.0,2.883333333,0.833333333,0.462520066,47524.0,109400.0,2.302,5.94,0.162,1.376856294,0.0,11295.0,1.0,1.0,11297.0,59.0,11.0,20.0,0.001241,0.000231,4.030543836,11295.0,90.0,1.0,0.01531,0.0145197,0.237669388,False,0.1053,11459.0,1
8471.0,180.0,2025-11-13 00:00:00,promotional,video,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,89.0,24.0,1.0,114.0,1.9,12.5,0.594697303,60597.0,115467.0,1.905,5.39,0.214,1.304377737,1.0,11720.0,3.0,4.0,11727.0,17.0,5.0,2.0,0.000281,8.3e-05,2.31235208,11720.0,24.0,1.0,0.00972,0.0075939,0.193408915,False,0.1342,11809.0,1
3688.0,180.0,2024-02-22 00:00:00,informational,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,57.0,22.0,21.0,100.0,1.666666667,1.045454545,1.135016726,53486.0,56483.0,1.056,4.06,0.248,0.454805131,1.0,8322.0,0.0,0.0,8322.0,35.0,2.0,5.0,0.000654,3.7e-05,2.514716205,8322.0,42.0,1.0,0.01202,0.0068493,0.155592118,False,0.1185,8379.0,1
2108.0,180.0,2024-08-14 00:00:00,promotional,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,117.0,2.0,7.0,126.0,2.1,0.375,0.105653986,47962.0,76349.0,1.592,4.21,0.162,0.676970401,0.0,6940.0,2.0,1.0,6943.0,112.0,2.0,6.0,0.002335,4.2e-05,3.237750369,6940.0,120.0,1.0,0.01815,0.0168588,0.144697886,False,0.1062,7057.0,1
1603.0,180.0,2025-06-25 00:00:00,experiential,video,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,147.0,4.0,3.0,154.0,2.566666667,1.25,0.246556273,42909.0,64367.0,1.5,5.18,0.25,0.817164486,0.0,4489.0,4.0,1.0,4494.0,12.0,9.0,0.0,0.00028,0.00021,2.094938237,4489.0,21.0,1.0,0.03427,0.0327467,0.104616747,False,0.0951,4636.0,1
3473.0,180.0,2024-01-13 00:00:00,informational,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,143.0,12.0,18.0,173.0,2.883333333,0.684210526,1.219094463,60241.0,109013.0,1.81,6.57,0.216,1.529695628,1.0,4734.0,3.0,4.0,4741.0,7.0,5.0,18.0,0.000116,8.3e-05,2.391530251,4734.0,30.0,1.0,0.03649,0.030207,0.078584353,False,0.1334,4877.0,1
3829.0,180.0,2025-03-31 00:00:00,informational,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,87.0,14.0,15.0,116.0,1.933333333,0.9375,0.75136143,63614.0,103096.0,1.621,5.94,0.22,1.36118891,1.0,4257.0,1.0,0.0,4258.0,17.0,3.0,4.0,0.000267,4.7e-05,2.222863564,4257.0,24.0,1.0,0.02724,0.0204369,0.066919232,False,0.1409,4344.0,1
9850.0,180.0,2024-08-05 00:00:00,experiential,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,334.0,20.0,6.0,360.0,6.0,3.0,2.495211485,626961.0,1613062.0,2.573,2.26,0.319,2.308047308,1.0,30747.0,0.0,0.0,30747.0,1.0,0.0,2.0,2e-06,0.0,-0.065575847,30747.0,3.0,1.0,0.01171,0.0108628,0.049041328,False,1.3888,31081.0,1
4435.0,180.0,2025-07-03 00:00:00,informational,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,430.0,9.0,0.0,439.0,7.316666667,10.0,2.480798036,781739.0,1674822.0,2.142,4.11,0.399,3.053224502,1.0,26693.0,3.0,0.0,26696.0,10.0,1.0,0.0,1.3e-05,1e-06,1.027225697,26693.0,11.0,1.0,0.01644,0.0161091,0.034145668,False,1.7317,27123.0,1
8730.0,180.0,2024-03-28 00:00:00,promotional,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,191.0,4.0,2.0,197.0,3.283333333,1.666666667,0.536695052,57501.0,105146.0,1.829,6.09,0.21,1.397529127,1.0,1869.0,4.0,1.0,1874.0,16.0,2.0,21.0,0.000278,3.5e-05,2.464316815,1869.0,39.0,1.0,0.10512,0.1021937,0.032503783,False,0.1274,2060.0,1
5776.0,180.0,2024-02-21 00:00:00,experiential,carousel,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,153.0,24.0,5.0,182.0,3.033333333,4.166666667,1.254122418,307842.0,579093.0,1.881,4.1,0.393,2.223591685,1.0,8848.0,0.0,0.0,8848.0,1.0,3.0,5.0,3e-06,1e-05,0.978815652,8848.0,9.0,1.0,0.02057,0.017292,0.028742017,False,0.6819,9001.0,1
7039.0,180.0,2024-05-28 00:00:00,informational,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,116.0,38.0,6.0,160.0,2.666666667,5.571428571,1.629579074,291543.0,368519.0,1.264,6.89,0.252,2.599812352,1.0,7034.0,3.0,0.0,7037.0,14.0,5.0,1.0,4.8e-05,1.7e-05,2.081819982,7034.0,20.0,1.0,0.02274,0.0164913,0.024126801,False,0.6458,7150.0,1
1787.0,180.0,2025-02-25 00:00:00,experiential,image,451427.0,13.02016896,1.0,16.0,0.0,42.0,0.67,-0.41,12.61,4.0,9.43,60.0,44.0,35.0,9.0,88.0,1.466666667,3.6,1.082905077,227902.0,303092.0,1.33,4.78,0.172,1.950363478,1.0,4158.0,0.0,0.0,4158.0,43.0,29.0,4.0,0.000189,0.000127,3.964418716,4158.0,76.0,1.0,0.02116,0.010582,0.018244684,False,0.5048,4202.0,1
9298.0,479.0,2025-03-12 00:00:00,promotional,carousel,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,136.0,10.0,4.0,150.0,2.5,2.2,0.469170209,43221.0,44448.0,1.028,5.07,0.218,0.555911622,0.0,45674.0,3.0,2.0,45679.0,3.0,2.0,1.0,6.9e-05,4.6e-05,0.882961292,45674.0,6.0,1.0,0.00328,0.0029776,1.056754818,False,0.0669,45810.0,1
7493.0,479.0,2025-07-28 00:00:00,experiential,image,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,57.0,4.0,2.0,63.0,1.05,1.666666667,-0.479460578,12125.0,17216.0,1.42,5.73,0.15,-0.081758344,0.0,12401.0,6.0,0.0,12407.0,22.0,8.0,17.0,0.001814,0.00066,3.243718553,12401.0,47.0,1.0,0.00508,0.0045964,1.022762887,False,0.0188,12458.0,1
2963.0,479.0,2024-04-23 00:00:00,experiential,video,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,48.0,11.0,7.0,66.0,1.1,1.5,-0.023832181,26239.0,41649.0,1.587,6.47,0.365,0.764136367,0.0,24361.0,4.0,4.0,24369.0,35.0,20.0,17.0,0.001334,0.000762,4.018738344,24361.0,72.0,1.0,0.00271,0.0019704,0.92842715,False,0.0406,24409.0,1
4857.0,479.0,2025-11-01 00:00:00,promotional,video,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,83.0,5.0,9.0,97.0,1.616666667,0.6,0.066124696,16726.0,35669.0,2.133,5.95,0.302,0.500802768,0.0,14587.0,3.0,3.0,14593.0,54.0,17.0,0.0,0.003229,0.001016,3.301694626,14587.0,71.0,1.0,0.00665,0.00569,0.87211527,False,0.0259,14670.0,1
7564.0,479.0,2025-04-21 00:00:00,experiential,image,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,5.0,35.0,5.0,45.0,0.75,6.0,0.613061236,141751.0,249843.0,1.763,4.58,0.295,1.708200847,1.0,83488.0,1.0,1.0,83490.0,75.0,14.0,18.0,0.000529,9.9e-05,4.274368623,83488.0,107.0,1.0,0.00054,5.99e-05,0.588976445,False,0.2194,83493.0,1
1076.0,479.0,2025-05-28 00:00:00,experiential,video,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,101.0,43.0,8.0,152.0,2.533333333,4.888888889,1.821633364,164328.0,215943.0,1.314,5.85,0.336,1.950974712,1.0,55639.0,2.0,0.0,55641.0,12.0,2.0,3.0,7.3e-05,1.2e-05,1.789705609,55639.0,17.0,1.0,0.00273,0.0018153,0.338585025,False,0.2543,55740.0,1
4303.0,479.0,2024-08-15 00:00:00,experiential,video,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,83.0,15.0,13.0,111.0,1.85,1.142857143,0.677730805,47056.0,116525.0,2.476,5.55,0.265,1.331618887,0.0,10102.0,1.0,0.0,10103.0,34.0,4.0,13.0,0.000723,8.5e-05,3.062047865,10102.0,51.0,1.0,0.01099,0.0082162,0.214680381,False,0.0728,10185.0,1
4519.0,479.0,2025-02-07 00:00:00,promotional,video,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,113.0,10.0,7.0,130.0,2.166666667,1.375,0.425328227,71299.0,109032.0,1.529,5.05,0.252,1.196963081,1.0,14990.0,4.0,3.0,14997.0,15.0,2.0,21.0,0.00021,2.8e-05,2.428469111,14990.0,38.0,1.0,0.00867,0.0075384,0.210241378,False,0.1103,15103.0,1
6511.0,479.0,2025-03-11 00:00:00,experiential,image,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,125.0,2.0,23.0,150.0,2.5,0.125,0.862708205,80299.0,93098.0,1.159,6.3,0.272,1.406890176,1.0,11230.0,2.0,2.0,11234.0,6.0,3.0,3.0,7.5e-05,3.7e-05,1.596857686,11230.0,12.0,1.0,0.01335,0.0111309,0.139852302,False,0.1243,11355.0,1
9591.0,479.0,2024-06-09 00:00:00,promotional,video,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,275.0,25.0,7.0,307.0,5.116666667,3.25,2.310078469,933231.0,1033085.0,1.107,3.45,0.443,2.53667718,1.0,54731.0,0.0,0.0,54731.0,4.0,1.0,15.0,4e-06,1e-06,1.400200154,54731.0,20.0,1.0,0.00561,0.0050246,0.058646787,False,1.4442,55006.0,1
1606.0,479.0,2024-09-22 00:00:00,informational,video,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,149.0,27.0,10.0,186.0,3.1,2.545454545,1.572663447,217807.0,313441.0,1.439,6.71,0.323,2.417440022,1.0,12124.0,0.0,0.0,12124.0,2.0,2.0,7.0,9e-06,9e-06,1.132450172,12124.0,11.0,1.0,0.01534,0.0122897,0.055663959,False,0.3371,12273.0,1
4153.0,479.0,2024-02-03 00:00:00,experiential,image,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,347.0,1.0,16.0,364.0,6.066666667,0.117647059,2.197769173,805685.0,1518945.0,1.885,2.48,0.44,2.384607612,1.0,28712.0,1.0,0.0,28713.0,0.0,2.0,1.0,0.0,2e-06,0.063237078,28712.0,3.0,1.0,0.01268,0.0120855,0.035636756,False,1.2468,29059.0,1
4417.0,479.0,2025-10-10 00:00:00,experiential,video,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,157.0,10.0,13.0,180.0,3.0,0.785714286,1.020136849,237170.0,387589.0,1.634,4.17,0.397,1.942771373,1.0,6948.0,1.0,0.0,6949.0,60.0,3.0,16.0,0.000253,1.3e-05,3.314960381,6948.0,79.0,1.0,0.0259,0.0225964,0.029295442,False,0.367,7105.0,1
4362.0,479.0,2024-02-16 00:00:00,promotional,video,646211.0,13.37888135,1.0,14.0,0.0,46.0,0.58,-0.54,12.84,2.0,1.5,60.0,63.0,27.0,15.0,105.0,1.75,1.75,1.13812518,151973.0,155204.0,1.021,4.83,0.157,1.479951193,1.0,1602.0,2.0,1.0,1605.0,13.0,12.0,7.0,8.6e-05,7.9e-05,2.926105836,1602.0,32.0,1.0,0.06542,0.0393258,0.010541346,False,0.2352,1665.0,1
2957.0,756.0,2025-03-06 00:00:00,promotional,video,413487.0,12.93238135,1.0,16.0,0.0,36.0,0.67,-0.41,12.53,5.0,5.67,60.0,30.0,16.0,7.0,53.0,0.883333333,2.125,0.05842383,6417.0,15446.0,2.407,5.43,0.228,-0.289002287,0.0,3853.0,7.0,1.0,3861.0,25.0,0.0,2.0,0.003896,0.0,1.451094172,3853.0,27.0,1.0,0.01373,0.0077861,0.600436341,False,0.0155,3883.0,1
127.0,756.0,2024-04-02 00:00:00,informational,video,413487.0,12.93238135,1.0,16.0,0.0,36.0,0.67,-0.41,12.53,5.0,5.67,60.0,25.0,8.0,14.0,47.0,0.783333333,0.6,-0.024829827,53757.0,109041.0,2.028,4.98,0.223,1.149952561,1.0,12335.0,2.0,6.0,12343.0,18.0,9.0,1.0,0.000335,0.000167,2.52913125,12335.0,28.0,1.0,0.00381,0.0020268,0.229458489,False,0.13,12360.0,1
5204.0,756.0,2024-05-29 00:00:00,informational,image,413487.0,12.93238135,1.0,16.0,0.0,36.0,0.67,-0.41,12.53,5.0,5.67,60.0,121.0,5.0,18.0,144.0,2.4,0.315789474,0.746006602,78267.0,135740.0,1.734,5.62,0.297,1.496522824,1.0,11154.0,3.0,0.0,11157.0,1.0,6.0,4.0,1.3e-05,7.7e-05,1.260537803,11154.0,11.0,1.0,0.01291,0.0108481,0.14251217,False,0.1893,11275.0,1
3971.0,756.0,2024-02-01 00:00:00,informational,image,413487.0,12.93238135,1.0,16.0,0.0,36.0,0.67,-0.41,12.53,5.0,5.67,60.0,91.0,14.0,2.0,107.0,1.783333333,5.0,0.215879012,31730.0,44356.0,1.398,5.65,0.302,0.647805478,0.0,4416.0,2.0,0.0,4418.0,12.0,14.0,21.0,0.000378,0.000441,3.274623154,4416.0,47.0,1.0,0.02422,0.0206069,0.139174283,False,0.0767,4507.0,1
4861.0,756.0,2025-05-13 00:00:00,experiential,carousel,413487.0,12.93238135,1.0,16.0,0.0,36.0,0.67,-0.41,12.53,5.0,5.67,60.0,53.0,48.0,4.0,105.0,1.75,9.8,1.502294793,117332.0,245864.0,2.095,5.72,0.339,1.971330336,1.0,15472.0,4.0,0.0,15476.0,16.0,6.0,7.0,0.000136,5.1e-05,2.668230304,15472.0,29.0,1.0,0.00678,0.0034255,0.131865135,False,0.2838,15525.0,1
8249.0,756.0,2025-06-28 00:00:00,experiential,image,413487.0,12.93238135,1.0,16.0,0.0,36.0,0.67,-0.41,12.53,5.0,5.67,60.0,112.0,8.0,12.0,132.0,2.2,0.692307692,0.547864481,76358.0,168884.0,2.212,5.26,0.394,1.560276074,1.0,9789.0,5.0,0.0,9794.0,33.0,0.0,11.0,0.000432,0.0,2.029317309,9789.0,44.0,1.0,0.01348,0.0114414,0.128198748,False,0.1847,9901.0,1
3823.0,756.0,2024-10-26 00:00:00,informational,image,413487.0,12.93238135,1.0,16.0,0.0,36.0,0.67,-0.41,12.53,5.0,5.67,60.0,67.0,13.0,10.0,90.0,1.5,1.272727273,0.338324189,28322.0,37335.0,1.318,6.33,0.285,0.67278915,0.0,3026.0,1.0,4.0,3031.0,12.0,2.0,13.0,0.000424,7.1e-05,2.168885982,3026.0,27.0,1.0,0.02969,0.0221414,0.106842737,False,0.0685,3093.0,1
9160.0,756.0,2024-04-29 00:00:00,experiential,carousel,413487.0,12.93238135,1.0,16.0,0.0,36.0,0.67,-0.41,12.53,5.0,5.67,60.0,43.0,33.0,5.0,81.0,1.35,5.666666667,0.813722962,50745.0,110366.0,2.175,6.16,0.11,1.436547746,1.0,4891.0,7.0,1.0,4899.0,38.0,1.0,5.0,0.000749,2e-05,2.31794314,4891.0,44.0,1.0,0.01653,0.0087917,0.09638388,False,0.1227,4934.0,1
5913.0,756.0,2024-05-26 00:00:00,informational,image,413487.0,12.93238135,1.0,16.0,0.0,36.0,0.67,-0.41,12.53,5.0,5.67,60.0,10.0,14.0,16.0,40.0,0.666666667,0.882352941,0.210975369,38878.0,44446.0,1.143,6.93,0.306,0.956075596,0.0,3373.0,2.0,0.0,3375.0,13.0,4.0,16.0,0.000334,0.000103,2.579005855,3373.0,33.0,1.0,0.01185,0.0029647,0.086758578,False,0.094,3383.0,1
